hugo	pfam_coord
UBE2Q2	{'UQ_con': [208, 363], 'RWD': [1, 116]}
RNF10	{'zf-C3HC4_2': [225, 266]}
RNF11	{'zf-RING_2': [97, 140]}
RNF13	{'zf-RING_2': [238, 282], 'PA': [59, 162]}
REM1	{'Ras': [82, 245]}
REM2	{'Ras': [116, 279]}
C16orf13	{'DUF938': [1, 203]}
C16orf11	{'zf-C2H2_7': [17, 70]}
MVB12B	{'DUF2464': [48, 299]}
RNF17	{'TUDOR': [674, 795, '//', 1177, 1295, '//', 1409, 1550, '//', 912, 1032, '//', 411, 532]}
NBEAL1	{'PH_BEACH': [1887, 1980], 'WD40': [2482, 2519, '//', 2431, 2469], 'Beach': [2004, 2284], 'Laminin_G_3': [567, 801]}
MZT2A	{'MOZART2': [1, 97]}
MZT2B	{'MOZART2': [1, 97]}
CHMP1B	{'Snf7': [6, 176]}
PMM1	{'PMM': [35, 256]}
ASS1	{'Arginosuc_synth': [8, 403]}
NCBP1	{'MIF4G_like_2': [485, 754], 'MIF4G': [28, 240], 'MIF4G_like': [338, 471]}
ZNF709	{'KRAB': [4, 44], 'zf-H2C2_2': [182, 207, '//', 462, 486, '//', 154, 178, '//', 294, 318, '//', 434, 459, '//', 490, 515, '//', 518, 543, '//', 378, 403, '//', 546, 571, '//', 322, 347, '//', 211, 235, '//', 238, 263, '//', 406, 431, '//', 574, 599, '//', 602, 627, '//', 350, 375, '//', 266, 290, '//', 116, 150]}
ZNF708	{'KRAB': [4, 44], 'zf-H2C2_2': [266, 291, '//', 294, 318, '//', 322, 347, '//', 210, 235, '//', 518, 543, '//', 182, 207, '//', 490, 515, '//', 462, 486, '//', 238, 263, '//', 350, 375, '//', 378, 403, '//', 406, 430, '//', 435, 459, '//', 155, 177]}
ZNF879	{'KRAB': [14, 54], 'zf-H2C2_2': [526, 551, '//', 302, 327, '//', 218, 243, '//', 442, 467, '//', 330, 355, '//', 498, 523, '//', 246, 270, '//', 414, 438, '//', 358, 383, '//', 386, 411, '//', 274, 298, '//', 470, 495]}
ZNF878	{'KRAB': [4, 44], 'zf-H2C2_2': [353, 378, '//', 297, 322, '//', 465, 490, '//', 437, 462, '//', 493, 518, '//', 269, 294, '//', 409, 433, '//', 213, 238, '//', 241, 266, '//', 325, 349, '//', 382, 406, '//', 157, 181, '//', 116, 153, '//', 185, 210]}
CAMK1	{'Pkinase': [20, 276]}
STYXL1	{'DSPc': [168, 299], 'Rhodanese': [18, 137]}
COPRS	{'COPR5': [33, 184]}
ZNF700	{'KRAB': [24, 64], 'zf-H2C2_2': [550, 575, '//', 404, 429, '//', 264, 289, '//', 606, 631, '//', 578, 603, '//', 634, 657, '//', 237, 261, '//', 460, 485, '//', 522, 547, '//', 292, 317, '//', 432, 457, '//', 718, 742, '//', 376, 400, '//', 662, 687, '//', 691, 715, '//', 185, 204, '//', 320, 342, '//', 348, 373, '//', 208, 233, '//', 484, 519]}
ZNF706	{'4F5': [1, 38], 'zf-met2': [38, 70]}
ZC3H10	{'zf-CCCH': [135, 160]}
RNF114	{'zf-C3HC4': [29, 67], 'zf-Di19': [139, 201]}
RNF115	{'zf-RING_3': [18, 49], 'zf-RING_2': [226, 269]}
ZC3H15	{'zf-CCCH': [100, 125]}
ZC3H14	{'zf-CCCH_2': [621, 639, '//', 600, 618, '//', 681, 698, '//', 640, 657]}
HMGCLL1	{'HMGL-like': [86, 334]}
LRRTM1	{'LRR_8': [113, 173, '//', 161, 221, '//', 256, 315], 'LRR_1': [90, 112]}
GRIN1	{'SBP_bac_3': [454, 795], 'Lig_chan': [559, 824], 'ANF_receptor': [38, 357], 'CaM_bdg_C0': [835, 863]}
SP9	{'zf-H2C2_2': [378, 401, '//', 348, 375]}
CBX2	{'Chromo': [12, 61]}
NSRP1	{'DUF2040': [56, 181]}
NUP98	{'Nup96': [1329, 1628], 'Nucleoporin2': [740, 880]}
XPC	{'BHD_2': [684, 744], 'BHD_3': [751, 825], 'BHD_1': [629, 682], 'Rad4': [495, 626]}
LRRTM2	{'LRR_8': [110, 169, '//', 157, 217, '//', 253, 312], 'LRR_6': [84, 104]}
SP4	{'zf-H2C2_2': [693, 716, '//', 663, 690]}
SP5	{'zf-H2C2_2': [342, 365, '//', 312, 339]}
SP6	{'zf-H2C2_2': [300, 323, '//', 270, 297]}
CAMKV	{'Pkinase': [24, 286]}
SPPL3	{'Peptidase_A22B': [64, 370]}
OPA3	{'OPA3': [7, 139]}
OPA1	{'Dynamin_N': [291, 469]}
RHEB	{'Ras': [8, 169]}
RAB40B	{'Ras': [16, 176], 'SOCS_box': [189, 226]}
RAB40A	{'Ras': [16, 176], 'SOCS_box': [189, 226]}
CBX1	{'Chromo_shadow': [115, 172], 'Chromo': [21, 70]}
COL7A1	{'Kunitz_BPTI': [2875, 2930], 'Collagen': [2466, 2524, '//', 2099, 2158, '//', 2373, 2430, '//', 1489, 1548, '//', 2526, 2584, '//', 2034, 2099, '//', 2407, 2465, '//', 1251, 1310, '//', 1296, 1361, '//', 1449, 1504, '//', 2317, 2374, '//', 2722, 2787, '//', 2617, 2694, '//', 2257, 2321, '//', 2563, 2639, '//', 1977, 2049, '//', 2150, 2218, '//', 1878, 1941], 'fn3': [233, 318, '//', 687, 765, '//', 331, 407, '//', 868, 946, '//', 599, 677, '//', 419, 492, '//', 777, 855, '//', 509, 587, '//', 958, 1040], 'VWA': [38, 210, '//', 1054, 1229]}
CLRN1	{'Claudin_2': [17, 208]}
MDP1	{'Acid_PPase': [3, 160]}
TICRR	{'Treslin_N': [208, 1005]}
FAM183A	{'FAM183': [18, 122]}
OVCH2	{'Trypsin': [52, 294], 'CUB': [431, 540, '//', 311, 418]}
WIF1	{'WIF': [38, 173], 'hEGF': [229, 241, '//', 197, 209, '//', 325, 337, '//', 261, 273]}
FAM183B	{'FAM183': [18, 122]}
PSAP	{'SapB_1': [60, 98, '//', 312, 350, '//', 406, 444, '//', 195, 234], 'SapA': [491, 524, '//', 21, 54], 'SapB_2': [238, 271, '//', 354, 388, '//', 103, 138, '//', 448, 482]}
RPRD2	{'CTD_bind': [74, 134]}
SPPL2A	{'Peptidase_A22B': [209, 491], 'PA': [52, 152]}
SPPL2C	{'Peptidase_A22B': [241, 527], 'PA': [71, 165]}
MYO3A	{'IQ': [1083, 1101, '//', 1347, 1367], 'Myosin_head': [340, 1041], 'Pkinase': [21, 287]}
UGCG	{'Glyco_transf_21': [106, 278]}
MYO3B	{'IQ': [1088, 1108], 'Myosin_head': [345, 1046], 'Pkinase': [27, 293]}
ATP2A1	{'Cation_ATPase_C': [784, 987], 'Cation_ATPase_N': [4, 72], 'Hydrolase': [345, 715], 'E1-E2_ATPase': [93, 341]}
ATP2A2	{'Hydrolase_like2': [418, 527], 'Cation_ATPase_C': [783, 986], 'Cation_ATPase_N': [4, 72], 'Hydrolase': [497, 714], 'E1-E2_ATPase': [93, 341]}
INCENP	{'INCENP_N': [5, 42], 'INCENP_ARK-bind': [825, 883]}
ITGA1	{'FG-GAP': [571, 606], 'Integrin_alpha2': [664, 1076], 'VWA': [172, 355]}
ITGA2	{'FG-GAP': [554, 589], 'Integrin_alpha2': [649, 1069], 'VWA': [174, 363]}
NOP2	{'Nol1_Nop2_Fmu': [300, 585], 'P120R': [683, 705, '//', 749, 768, '//', 623, 644]}
ITGA4	{'FG-GAP': [306, 342, '//', 370, 403], 'Integrin_alpha2': [463, 909]}
ITGA5	{'FG-GAP': [326, 368, '//', 392, 428, '//', 456, 487], 'Integrin_alpha2': [489, 921]}
ITGA7	{'FG-GAP': [364, 402], 'Integrin_alpha2': [515, 1006]}
TRHR	{'7tm_1': [42, 320]}
ARF4	{'Arf': [5, 177]}
DENND4A	{'dDENN': [558, 632], 'uDENN': [209, 276], 'DENN': [308, 492]}
DENND4B	{'dDENN': [562, 636], 'uDENN': [212, 279], 'DENN': [313, 497]}
ELL3	{'Occludin_ELL': [291, 392], 'ELL': [5, 270]}
PREB	{'WD40': [158, 182, '//', 186, 223]}
