gene	cgc	gene_len	gene_muts	n_clusters	muts_in_clusters	gene_additive_cluster_score	gene_z_value	p_value	q_value
FKBP9		1872	6	1	6	1.0	8.24049057197	8.57529903785e-17	3.21573713919e-16
IDH1	Dom	1245	10	1	10	1.0	8.24049057197	8.57529903785e-17	3.21573713919e-16
GSTM5		714	3	1	3	1.0	8.24049057197	8.57529903785e-17	3.21573713919e-16
PSMD13		1137	3	1	3	1.0	8.24049057197	8.57529903785e-17	3.21573713919e-16
CHEK2	Rec	1761	5	1	4	0.8	6.53860968971	3.10466684165e-11	9.31400052495e-11
HLA-E		1077	4	1	3	0.75	6.11313946914	4.88449609247e-10	1.0466777341e-09
ZNF708		1692	4	1	3	0.75	6.11313946914	4.88449609247e-10	1.0466777341e-09
FGFR3	Dom	2427	3	1	2	0.666666666667	5.40402243487	3.25813943938e-08	6.10901144884e-08
PRKDC		12384	4	1	2	0.5	3.98578836632	3.36282197779e-05	5.60470329632e-05
EGFR	Dom	3633	24	2	10	0.416666666667	3.27667133204	0.000525192811511	0.000787789217266
RHPN2		2061	5	1	2	0.4	3.13484792519	0.000859716110321	0.00117234015044
TP53	Rec	1182	55	7	30	0.383806890415	2.99705420705	0.00136301117808	0.0017037639726
PIK3R1	Rec	2199	12	2	6	0.375001598379	2.92212641616	0.00173825201722	0.00200567540448
PTEN	Rec	1212	37	4	10	0.27027027027	2.03092519075	0.0211312919748	0.022640669973
ERBB2	Dom	3768	10	1	2	0.2	1.43296704293	0.0759336279948	0.0759336279948
PDGFRA	Dom	3270	3	0	0	0	NA	NA	NA
EPHA7		2997	3	0	0	0	NA	NA	NA
ATM	Rec	9171	3	0	0	0	NA	NA	NA
TNFRSF10A		1407	3	0	0	0	NA	NA	NA
EP400		9480	3	0	0	0	NA	NA	NA
ITPR3		8016	4	0	0	0	NA	NA	NA
LEMD3		2736	3	0	0	0	NA	NA	NA
BCR	Dom	3816	3	0	0	0	NA	NA	NA
FURIN		2385	3	0	0	0	NA	NA	NA
ADAMTSL3		5076	3	0	0	0	NA	NA	NA
TEK		3375	4	0	0	0	NA	NA	NA
PIK3CA	Dom	3207	7	0	0	0	NA	NA	NA
RB1	Rec	2787	9	0	0	0	NA	NA	NA
PIK3CG		3309	5	0	0	0	NA	NA	NA
CYP27B1		1527	3	0	0	0	NA	NA	NA
NF1	Rec	8520	19	0	0	0	NA	NA	NA
DSG2		3357	3	0	0	0	NA	NA	NA
DST		23253	6	0	0	0	NA	NA	NA
IFITM3		402	3	0	0	0	NA	NA	NA
BRCA2	Rec	10257	3	0	0	0	NA	NA	NA
BCL11A	Dom	2508	5	0	0	0	NA	NA	NA
COL1A1	Dom	4395	5	0	0	0	NA	NA	NA
DSP		8616	4	0	0	0	NA	NA	NA
LGALS3BP		1758	3	0	0	0	NA	NA	NA
PIK3C2A		5061	3	0	0	0	NA	NA	NA
MTOR		7650	3	0	0	0	NA	NA	NA
MSH6	Rec	4083	4	0	0	0	NA	NA	NA
TNC		6606	3	0	0	0	NA	NA	NA
ADAMTS20		5733	3	0	0	0	NA	NA	NA
SYNE1		26394	10	0	0	0	NA	NA	NA
CYP3A4		1512	3	0	0	0	NA	NA	NA
ROR2		2832	3	0	0	0	NA	NA	NA
FGFR1	Dom	2562	3	0	0	0	NA	NA	NA
TNK2		3261	3	0	0	0	NA	NA	NA
TSC2	Rec	5424	3	0	0	0	NA	NA	NA
FN1		7434	4	0	0	0	NA	NA	NA
MYST4	Dom	6222	3	0	0	0	NA	NA	NA
PAPPA2		5376	4	0	0	0	NA	NA	NA
ANK2		11874	3	0	0	0	NA	NA	NA
MBD6		3012	3	0	0	0	NA	NA	NA
DOCK1		5598	3	0	0	0	NA	NA	NA
unknown		468	13	0	0	0	NA	NA	NA
PIK3C2G		4461	5	0	0	0	NA	NA	NA
COL6A2		3060	4	0	0	0	NA	NA	NA
