Ensembl Gene ID	id2	Ensembl Transcript ID	CDS Length
ENSG00000110514	MADD	ENST00000311027	4944
ENSG00000086015	MAST2	ENST00000361297	5397
ENSG00000169740	ZNF32	ENST00000374433	822
ENSG00000169744	LDB2	ENST00000304523	1122
ENSG00000261603	unknown	ENST00000463091	525
ENSG00000168298	HIST1H1E	ENST00000304218	660
ENSG00000153714	C9orf150	ENST00000319264	687
ENSG00000168291	PDHB	ENST00000302746	1080
ENSG00000262552	unknown	ENST00000574291	2025
ENSG00000262556	unknown	ENST00000571905	1125
ENSG00000225103	HLA-DQA2	ENST00000446482	768
ENSG00000149792	MRPL49	ENST00000526319	501
ENSG00000178776	C5orf46	ENST00000318315	264
ENSG00000149798	CDC42EP2	ENST00000279249	633
ENSG00000183054	RGPD6	ENST00000329516	5298
ENSG00000250565	ATP6V1E2	ENST00000306448	681
ENSG00000187961	KLHL17	ENST00000338591	1929
ENSG00000187969	ZCCHC13	ENST00000339534	501
ENSG00000162843	WDR64	ENST00000366552	3246
ENSG00000162849	KIF26B	ENST00000407071	6327
ENSG00000149243	KLHL35	ENST00000539798	1752
ENSG00000184702	SEPT5	ENST00000455843	1137
ENSG00000184708	EIF4ENIF1	ENST00000397525	2958
ENSG00000184709	LRRC26	ENST00000371542	1005
ENSG00000163462	TRIM46	ENST00000334634	2280
ENSG00000163463	KRTCAP2	ENST00000295682	489
ENSG00000163464	CXCR1	ENST00000295683	1053
ENSG00000163466	ARPC2	ENST00000315717	903
ENSG00000163467	C1orf182	ENST00000368255	378
ENSG00000163468	CCT3	ENST00000295688	1638
ENSG00000267739	unknown	ENST00000589692	615
ENSG00000162599	NFIA	ENST00000371189	1665
ENSG00000162598	C1orf87	ENST00000371201	1641
ENSG00000162592	CCDC27	ENST00000294600	1971
ENSG00000162591	MEGF6	ENST00000356575	4626
ENSG00000029363	BCLAF1	ENST00000531224	2763
ENSG00000162595	DIRAS3	ENST00000370981	690
ENSG00000162594	IL23R	ENST00000347310	1890
ENSG00000118640	VAMP8	ENST00000263864	303
ENSG00000168488	ATXN2L	ENST00000395547	3294
ENSG00000182600	C2orf82	ENST00000449331	421
ENSG00000115073	ACTR1B	ENST00000289228	1131
ENSG00000253148	RGS21	ENST00000417209	459
ENSG00000213853	EMP2	ENST00000359543	504
ENSG00000213859	KCTD11	ENST00000333751	699
ENSG00000229300	C6orf48	ENST00000551957	378
ENSG00000055070	C1orf144	ENST00000375590	477
ENSG00000155719	OTOA	ENST00000286149	3462
ENSG00000162337	LRP5	ENST00000294304	4848
ENSG00000155714	PDZD9	ENST00000424898	795
ENSG00000182010	RTKN2	ENST00000373789	1830
ENSG00000182013	PNMAL1	ENST00000313683	1320
ENSG00000164659	KIAA1324L	ENST00000450689	3090
ENSG00000178372	CALML5	ENST00000380332	441
ENSG00000164651	SP8	ENST00000418710	1527
ENSG00000164654	MIOS	ENST00000340080	2628
ENSG00000149187	CELF1	ENST00000531165	1545
ENSG00000161021	MAML1	ENST00000292599	3051
ENSG00000254692	unknown	ENST00000530611	2448
ENSG00000257341	unknown	ENST00000477724	234
ENSG00000257349	unknown	ENST00000547189	384
ENSG00000151923	TIAL1	ENST00000369093	1179
ENSG00000165309	ARMC3	ENST00000298032	2619
ENSG00000165304	MELK	ENST00000298048	1956
ENSG00000165300	SLITRK5	ENST00000325089	2877
ENSG00000101608	MYL12A	ENST00000580887	534
ENSG00000101605	MYOM1	ENST00000356443	5058
ENSG00000170100	ZNF778	ENST00000433976	2190
ENSG00000198791	CNOT7	ENST00000361272	858
ENSG00000198792	TMEM184B	ENST00000361906	1224
ENSG00000198793	MTOR	ENST00000361445	7650
ENSG00000198794	SCAMP5	ENST00000562212	732
ENSG00000198795	ZNF521	ENST00000361524	3936
ENSG00000198796	ALPK2	ENST00000361673	6513
ENSG00000198797	FAM5B	ENST00000361539	2352
ENSG00000198798	MAGEB3	ENST00000378986	1041
